Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000456,X,-1,-1,I_mean_FPKM,4.390219781,I
AGAP000457,X,-1,-1,I_mean_FPKM,1277.576894,I
AGAP000458,X,-1,-1,I_mean_FPKM,2.033152103,I
AGAP000460,X,-1,-1,I_mean_FPKM,0.14899156,I
AGAP000461,X,-1,-1,I_mean_FPKM,112.2085864,I
AGAP000462,X,-1,1,I_mean_FPKM,433.3108408,I
AGAP000463,X,-1,-1,I_mean_FPKM,25.21349943,I
AGAP000466,X,-1,-1,I_mean_FPKM,1.832734776,I
AGAP000467,X,-1,-1,I_mean_FPKM,42.31864016,I
AGAP000468,X,-1,-1,I_mean_FPKM,1.997796378,I
AGAP000469,X,1,-1,I_mean_FPKM,58.33430467,I
AGAP000470,X,-1,-1,I_mean_FPKM,212.8695712,I
AGAP000471,X,-1,-1,I_mean_FPKM,222.1756619,I
AGAP000472,X,-1,-1,I_mean_FPKM,0.31768975,I
AGAP000473,X,-1,-1,I_mean_FPKM,1.225019667,I
AGAP000474,X,-1,-1,I_mean_FPKM,3.437501741,I
AGAP000475,X,-1,-1,I_mean_FPKM,12.45627792,I
AGAP000476,X,-1,-1,I_mean_FPKM,0,I
AGAP000477,X,-1,-1,I_mean_FPKM,0.006606156,I
AGAP000478,X,-1,-1,I_mean_FPKM,1.714375841,I
AGAP000479,X,-1,-1,I_mean_FPKM,6.04691358,I
AGAP000480,X,-1,-1,I_mean_FPKM,13.21877625,I
AGAP000481,X,-1,-1,I_mean_FPKM,0.520391029,I
AGAP000482,X,-1,-1,I_mean_FPKM,14.10081282,I
AGAP000483,X,-1,-1,I_mean_FPKM,66.48744859,I
AGAP000484,X,-1,-1,I_mean_FPKM,0,I
AGAP000485,X,-1,-1,I_mean_FPKM,0,I
AGAP000488,X,-1,-1,I_mean_FPKM,0.009511602,I
AGAP000489,X,-1,-1,I_mean_FPKM,8.065516112,I
AGAP000491,X,-1,-1,I_mean_FPKM,83.89752062,I
